qname;name;award_type;year_of_fellowship;gender;num_papers;num_papers_before_award;num_papers_during_award;num_papers_after_award;num_cites;num_cites_before_award;num_cites_during_award;num_cites_after_award;num_coauthors;num_of_self_cites
Bovy, J;Jo Bovy;Hubble;2011;m;24;8;8;4;912;75;355;482;135;0
Kaspi, V;Victoria Kaspi;Hubble;1994;m;32;3;4;21;2303;11;151;2141;132;0
Marrone, D;Daniel Marrone;Hubble;2009;m;8;6;0;0;405;105;102;198;82;0
Linden, T;Tim Linden;Einstein;2013;m;11;8;1;0;226;75;151;0;19;0
Luu, J;Jane Luu;Hubble;1992;f;23;7;4;10;1065;27;51;987;24;0
Stanek, K;Krzysztof Stanek;Hubble;1999;m;20;12;2;4;2380;184;264;1932;106;0
Winn, J;Joshua Winn;Hubble;2004;m;41;11;4;17;2226;67;128;2031;311;0
Roth, K;Katherine Roth;Hubble;1995;f;7;2;1;1;137;6;29;102;6;0
Muno, M;Michael Muno;Hubble;2003;m;30;9;7;5;1604;114;182;1308;155;0
Fung, J;Jeffrey Fung;Sagan;2016;m;7;7;0;0;64;64;0;0;9;0
Shields, J;Joseph Shields;Hubble;1993;m;26;12;4;6;785;47;81;657;53;0
Lewis, N;Nikole Lewis;Sagan;2012;m;8;5;2;0;300;90;187;23;38;0
Schwab, C;Christian Schwab;Sagan;2012;m;2;1;0;0;4;0;3;1;7;0
Oppenheimer, B;Ben Oppenheimer;Hubble;1999;m;26;7;4;14;1893;70;116;1707;102;0
Bordoloi, R;Rongmon Bordoloi;Hubble;2015;m;7;6;1;0;153;126;27;0;133;0
Bucciantini, N;Niccolo Bucciantini;Hubble;2006;m;25;8;4;10;772;60;112;600;48;0
Berger, E;Edo Berger;Hubble;2004;m;48;14;6;20;2950;252;432;2266;381;0
Kalirai, J;Jasonjot Kalirai;Hubble;2005;m;26;8;4;9;992;60;130;802;142;0
Tremonti, C;Christy Tremonti;Hubble;2005;f;4;3;1;0;1720;50;220;1450;16;0
Feldmann, R;Robert Feldmann;Hubble;2012;m;15;6;2;1;355;119;185;51;51;0
Zhu, G;Guangtun Zhu;Hubble;2014;m;17;14;1;0;218;144;74;0;67;0
Reese, E;Erik Reese;Einstein;2001;m;16;11;1;2;405;131;63;211;67;0
Barth, A;Aaron Barth;Hubble;2001;m;32;10;5;13;1521;144;168;1209;235;0
