type,year,gender,person,host_institute,phd_institute
Hubble,2009,m,Joshua Younger,Harvard University - 2009,Princeton Institute for Advanced Study
Hubble,2008,m,Kevin A Bundy,California Institute of Technology - 2006,University of California Berkeley
Hubble,2008,m,Julio Chaname,The Ohio State University - 2005,Carnegie DTM
Hubble,2008,m,Richard Cool,University of Arizona 2008,Princeton Unversity
Hubble,2008,f,Elena Gallo,University of Amsterdam 2005,Massachusetts Institute of Technology
Hubble,2008,f,Suvi Gezari,Columbia University - 2005,The Johns Hopkins University
Hubble,2008,m,Brandon C. Kelly,University of Arizona 2008,Smithsonian Astrophysical Observatory
Hubble,2008,m,David R. Law,California Institute of Technology - 2008,University of California Los Angeles
Hubble,2008,m,Andrei Mesinger,Columbia University - 2006,Princeton University
Hubble,2008,m,Naveen Reddy,California Institute of Technology - 2006,National Optical Astronomy Observatory
Hubble,2008,f,Emily L. Schaller,California Institute of Technology - 2008,University of Hawaii
Hubble,2008,m,Louis E. Strigari,The Ohio State University - 2005,Stanford University
Hubble,2008,m,Jong-Hak Woo,Yale University - 2005,University of California Los Angeles
Hubble,2007,m,Sean M Andrews,University of Hawaii - 2007,Smithsonian Astrophysical Observatory
Hubble,2007,f,Beth A Biller,University of Arizona - 2007,University of Hawaii Institute for Astronomy
Hubble,2007,m,Judd D Bowman,Massachusetts Institute of Technology - 2007,California Institute of Technology
Hubble,2007,f,Marusa Bradac,Bonn 2004,University of California Santa Barbara
Hubble,2007,m,David L A Kaplan,California Institute of Technology - 2004,Massachusetts Institute of Technology Kavli Institute
Hubble,2007,m,Daniel N Kasen,University of California Berkeley - 2004,University of California Santa Cruz
Hubble,2007,m,Ivo F L Labbe,Leiden 2004,Carnegie Observatories
Hubble,2007,f,Mercedes Lopez-Morales,University of North Carolina Chapel Hill - 2004,Carnegie DTM
Hubble,2007,m,Jonathan R Pritchard,California Institute of Technology - 2007,Harvard University
Hubble,2007,m,Dominik A Riechers,Heidelberg 2007,California Institute of Technology
Hubble,2007,f,Alicia M Soderberg,California Institute of Technology - 2007,Princeton University
Hubble,2007,m,Jay M Strader,University of California Santa Cruz 2007,Harvard University
Hubble,2006,m,Niccolo Bucciantini,Universita di Firenze 2004,University of California Berkeley
Hubble,2006,m,Jurg Diemand,University of Zurich 2004,University of California Santa Cruz
Hubble,2006,m,Eric Ford,Princeton University - 2003,Center for Astrophysics
Hubble,2006,f,Jenny Greene,Harvard University - 2006,Princeton University
Hubble,2006,f,Juna Kollmeier,The Ohio State University - 2006,Observatories of the Carnegie Institute of Washington
Hubble,2006,f,Janice Lee,University of Arizona 2006,National Optical Astronomy Observatory
Hubble,2006,f,Rachel Mandelbaum,Princeton University - 2006,Princeton Institute for Advanced Study
Hubble,2006,m,Nikhil Padmanabhan,Princeton University - 2005,Lawrence Berkeley National Laboratory
Hubble,2006,m,Klaus Pontoppidan,Leiden 2004,California Institute of Technology
Hubble,2006,m,Glenn van de Ven,Leiden 2005,Institute for Advanced Study
Hubble,2005,f,Alison Coil,University of California Berkeley - 2004,University of Arizona
Hubble,2005,m,Jeremiah Darling,Cornell University - 2002,University of Colorado
Hubble,2005,m,Michael Gladders,University of Toronto 2002,Carnegie Observatories
Hubble,2005,m,Jasonjot Kalirai,University of British Columbia 2004,University of California Santa Cruz
Hubble,2005,m,Mark Krumholz,University of California Berkeley - 2005,Princeton University
Hubble,2005,m,Jeong-Eun Lee,University of Texas 2005,University of California Los Angeles
Hubble,2005,m,Milos Milosavljevic,Rutgers 2002,California Institute of Technology
Hubble,2005,f,Rachel Osten,University of Colorado 2002,University of Washington
Hubble,2005,m,Seth Redfield,University of Colorado 2003,University of Texas
Hubble,2005,m,Kris Sigurdson,California Institute of Technology - 2005,Princeton Institute for Advanced Study
Hubble,2005,f,Christy Tremonti,The Johns Hopkins - 2003,University of Arizona
Hubble,2004,m,Gaspar Bakos,Eotvos University - 2004,Smithsonian Astrophysical Observatory
Hubble,2004,m,Edo Berger,California Institute of Technology - 2004,Carnegie Institute of Washington
Hubble,2004,m,Joseph Hennawi,Princeton University - 2004,University of California Berkeley
Hubble,2004,m,Kelsey Johnson,University of Colorado 2001,University of Wisconsin - Madison
Hubble,2004,f,Lisa Kewley,Australian National University - 2002,University of Hawaii
Hubble,2004,m,Anjum Mukadam,University of Texas Austin 2004,University of Washington
Hubble,2004,m,Masami Ouchi,University of Tokyo 2003,Space Telescope Science Institute
Hubble,2004,m,Hiranya Peiris,Princeton University - 2003,University of Chicago
Hubble,2004,m,Scott Sheppard,University of Hawaii 2004,Carnegie Institute of Washington
Hubble,2004,m,Aristotle Socrates,University of California Santa Barbara 2004,Princeton University
Hubble,2004,m,Joshua Winn,Massachusetts Institute of Technology - 2001,Harvard College Observatory
Hubble,2004,m,Zheng Zheng,The Ohio State University - 2004,Princeton Institute for Advanced Study
Hubble,2003,m,Avishay Gal-Yam,Tel Aviv 2003,California Institute of Technology
Hubble,2003,f,Marla Geha,University of California Santa Cruz 2003,Carnegie
Hubble,2003,m,Jason Harris,University of California Santa Cruz 2000,University of Arizona
Hubble,2003,m,Wynn Ho,Cornell University - 2003,Stanford University
Hubble,2003,m,Marc Kuchner,California Institute of Technology - 2000,Princeton University
Hubble,2003,m,Darren Madgwick,University of Cambridge - 2002,Lawrence Berkeley National Laboratory
Hubble,2003,m,Michael Muno,Massachusetts Institute of Technology - 2003,University of California Los Angles
Hubble,2003,m,Jeffrey Newman,University of California Berkeley - 2000,Lawrence Berkeley National Laboratory
Hubble,2003,m,Nathan Smith,University of Minnesota 2002,University of Colorado
Hubble,2003,m,Tommaso Treu,Pisa/Space Telescope Science Institute 2001,University of California Los Angles
Hubble,2003,f,Risa Wechsler,University of California Santa Cruz 2001,University of Chicago
Hubble,2003,f,Qingjuan Yu,Princeton University - 2002,University of California Berkeley
Hubble,2002,m,James Bullock,University of California Santa Cruz 1999,Center for Astrophysics
Hubble,2002,m,Hsiao-Wen Chen,State University of New York Stony Brook - 1999,Massachusetts Institute of Technology
Hubble,2002,m,Neal Dalal,University of California San Diego 2002,Princeton Institute for Advanced Study
Hubble,2002,m,Jarrod Hurley,Cambridge 2000,American Museum of Natural History
Hubble,2002,m,Robert Hynes,Open University - 1999,University of Texas
Hubble,2002,f,Inese Ivans,University of Texas - 2002,California Institute of Technology
Hubble,2002,m,Michael Liu,University of California Berkeley - 2000,University of Hawaii
Hubble,2002,m,Lucas Macri,Harvard University - 2001,National Optical Astronomy Observatory
Hubble,2002,m,Robert Metcalf,University of California Berkeley - 1999,University of California Santa Cruz
Hubble,2002,f,Barbara Mochejska,Copernicus Center - 2002,Center for Astrophysics
Hubble,2002,m,Feryal Ozel,Harvard University - 2002,Princeton Institute for Advanced Study
Hubble,2002,m,Todd Thompson,University of Arizona - 2002,University of California Berkeley
Hubble,2001,m,Aaron Barth,University of California Berkeley - 1998,California Institute of Technology
Hubble,2001,f,Elizabeth Barton,Harvard University - 1999,University of Arizona
Hubble,2001,m,Martin Bureau,Australian National University - 1999,Columbia University
Hubble,2001,m,Adam Burgasser,California Institute of Technology - 2001,University of California Los Angeles
Hubble,2001,m,Andrew Cumming,University of California Berkeley - 2000,University of California Santa Cruz
Hubble,2001,m,Mario Hamuy,University of Arizona - 2001,Observatories of the Carnegie Institute of Washington
Hubble,2001,m,Andrew Hopkins,Sydney - 1998,University of Pittsburgh
Hubble,2001,m,Charles Keeton_,Harvard University - 1998,University of Chicago
Hubble,2001,m,Jason Prochaska,University of California San Diego - 1998,Observatories of the Carnegie Institute of Washington
Hubble,2001,f,Constance Rockosi,University of Chicago - 2001,University of Washington
Hubble,2001,m,Keivan Stassun_,University of Wisconsin - 2000,University of Wisconsin
Hubble,2001,m,J. Stuart Wyithe,Melbourne 2001,Center for Astrophysics
Hubble,2000,m,Eugene Chiang,California Institute of Technology - 2000,Princeton Institute for Advanced Study
Hubble,2000,m,Romeel Davè,University of California Santa Cruz 1998,University of Arizona
Hubble,2000,m,Douglas Finkbeiner,University of California Berkeley - 1999,University of California Berkeley
Hubble,2000,m,B. Scott Gaudi,The Ohio State University - 2000,Princeton Institute for Advanced Study
Hubble,2000,f,Amber Miller,Princeton University - 2000,University of Chicago
Hubble,2000,f,Mary Putman_,Australian National University - 2000,University of Colorado
Hubble,2000,m,Daniel Reichart_,University of Chicago - 2000,California Institute of Technology
Hubble,1999,f,Amy Barger,University of Cambridge - 1997,University of Hawaii
Hubble,1999,m,Daniel Eisenstein,Harvard University - 1996,University of Chicago
Hubble,1999,m,Zoltan Haiman,Harvard University - 1998,Princeton University
Hubble,1999,m,Brad Hansen,California Institute of Technology - 1996,Princeton University
Hubble,1999,m,Andrey Kravtsov,New Mexico State University - 1999,The Ohio State University
Hubble,1999,m,Ben Oppenheimer,California Institute of Technology - 1999,University of California Berkeley
Hubble,1999,m,Eric Richards,University of Virginia - 1999,Arizona State University
Hubble,1999,m,Krzysztof Stanek,Princeton University - 1996,Center for Astrophysics
Hubble,1999,m,Scott Trager,University of California Santa Cruz 1997,Observatories of the Carnegie Institute of Washington
Hubble,1999,m,Pieter van Dokkum,Groningen 1999,California Institute of Technology
Hubble,1998,f,Joanne C. Baker,Sydney - 1995,University of California Berkeley
Hubble,1998,m,Greg Bryan,University of Illinois - 1996,Massachusetts Institute of Technology
Hubble,1998,m,Marcio Catelan,Smithsonian Astrophysical Observatory Paulo 1996,Goddard Space Flight Center (yr 1) University of Virginia (yrs 2-3)
Hubble,1998,m,Roelof de Jong,Groningen 1995,University of Arizona
Hubble,1998,m,Bryan Gaensler,Sydney - 1998,Massachusetts Institute of Technology
Hubble,1998,f,Eva K. Grebel,Bonn 1995,University of Washington
Hubble,1998,,Christian Knigge,Oxford 1995,Columbia University
Hubble,1998,,Huan Lin,Harvard University - 1995,University of Arizona
Hubble,1998,f,Sangeeta Malhotra,Princeton University - 1995,Kitt Peak National Observatory (yr 1) The Johns Hopkins University (yrs 2-3)
Hubble,1998,m,Simon Portegies Zwart,Utrecht 1997,Boston University of (yrs 1-2) Massachusetts Institute of Technology (yr 3)
Hubble,1998,m,Chris Reynolds,Cambridge 1996,University of Colorado JILA
Hubble,1998,m,Gordon Squires,University of Toronto - 1995,California Institute of Technology
Hubble,1998,f,Jennifer Wiseman,Harvard University - 1995,The Johns Hopkins University
Hubble,1998,m,Matias Zaldarriaga,Massachusetts Institute of Technology - 1998,Princeton Institute for Advanced Study
Hubble,1997,f,Rebecca A. Bernstein,California Institute of Technology - 1997,Observatories of the Carnegie Institute of Washington
Hubble,1997,m,Arjun Dey,University of California Berkeley - 1994,The Johns Hopkins University (yr 1) Kitt Peak National Observatory (yr 2)
Hubble,1997,m,Karl Gebhardt,Rutgers 1994,University of California Santa Cruz
Hubble,1997,m,William M. Grundy,University of Arizona - 1995,Lowell Observatory
Hubble,1997,m,Rafael Guzman,Durham 1994,Yale University
Hubble,1997,m,David W. Hogg,California Institute of Technology - 1997,Princeton Institute for Advanced Study
Hubble,1997,m,Henry A Kobulnicky,University of Minnesota - 1997,University of California Santa Cruz (yrs 1-2) University of Wisconsin (yr 3)
Hubble,1997,m,Lori M. Lubin,Princeton University - 1995,California Institute of Technology
Hubble,1997,m,Ronald O. Marzke,Harvard University - 1994,Observatories of the Carnegie Institute of Washington
Hubble,1997,m,Dean E. McLaughlin,McMaster 1997,University of California Berkeley
Hubble,1997,m,Michael R. Meyer,University of Massachusetts - 1996,University of Arizona
Hubble,1997,m,Michael A. Pahre,California Institute of Technology - 1997,Center for Astrophysics
Hubble,1997,m,Michael W. Regan,University of Maryland - 1996,Dept. Terrest. Magn.
Hubble,1997,m,Marco Spaans,Leiden 1995,Center for Astrophysics
Hubble,1997,m,Frank C. van den Bosch,Leiden 1997,University of Washington
Hubble,1996,f,Marcella Carollo,Munich - 1993,The Johns Hopkins University
Hubble,1996,m,Brian Chaboyer,Yale University - 1993,University of Arizona
Hubble,1996,f,Laura Ferrarese,The Johns Hopkins University - 1995,California Institute of Technology
Hubble,1996,m,Andrew Layden,Yale University - 1993,University of Michigan (yr 1-2) Bowling Green State University of (yr 3)
Hubble,1996,f,Crystal Martin,University of Arizona - 1996,Space Telescope Science Institute
Hubble,1996,m,Max Tegmark,University of California Berkeley - 1994,Princeton Institute for Advanced Study
Hubble,1996,f,Lifan Wang,ESO/USTC - 1993,University of Texas
Hubble,1996,m,David Wilner,University of California Berkeley - 1993,Center for Astrophysics
Hubble,1996,f,Ann Zabludoff,Harvard University - 1993,University of California Santa Cruz
Hubble,1995,m,Robert Blum,The Ohio State University- 1995,JILA University of Colorado
Hubble,1995,m,Michael Eracleous,Columbia University - 1992,University of California Berkeley
Hubble,1995,m,Philippe Fischer,McMaster University - 1993,University of Michigan
Hubble,1995,m,Adam Frank,University of Washington - 1992,University of Minnesota
Hubble,1995,m,Mauro Giavalisco,Rome - 1992,Observatories of the Carnegie Institute of Washington
Hubble,1995,f,Margaret Hanson,University of Colorado - 1995,University of Arizona
Hubble,1995,f,Inger Jorgensen,Copenhagen - 1993,University of Texas
Hubble,1995,m,Chris Mihos,University of Michigan - 1992,The Johns Hopkins University (yr 1-2) Case Western University (yr 3)
Hubble,1995,m,Michael Rauch,University of Cambridge - 1993,California Institute of Technology
Hubble,1995,f,Katherine Roth,Northwestern University - 1992,University of Hawaii
Hubble,1995,m,Ata Sarajedini,Yale University - 1992,Kitt Peak National Observatory (yr 1) San Francisco State University of (yr 2-3)
Hubble,1995,m,Michael Vogeley,Harvard University - 1993,Space Telescope Science Institute (yr 1-2) Princeton University (yr 3)
Hubble,1994,m,Michael Brown,University of California Berkeley,California Institute of Technology
Hubble,1994,f,Julianne Dalcanton,Princeton University,Observatories of the Carnegie Institute of Washington
Hubble,1994,m,Todd Henry,University of Arizona,Space Telescope Science Institute
Hubble,1994,m,John Hibbard,Columbia University,University of Hawaii
Hubble,1994,f,Lynne Hillenbrand,University of Massachusetts,University of California Berkeley
Hubble,1994,m,Victoria Kaspi,Princeton University,Jet Propulsion Laboratory(yr 1-2) Massachusetts Institute of Technology(yr 3)
Hubble,1994,m,Limin Lu,University of Pittsburgh,California Institute of Technology
Hubble,1994,f,Suzanne Staggs,Princeton University,University of Chicago/Fermi Institute
Hubble,1994,f,Julie Thorburn,University of Chicago,University of Chicago/Yerkes Observatory
Hubble,1994,m,Roeland van der Marel,Leiden,Princeton Institute for Advanced Study
Hubble,1994,m,Guy Worthey,University of California Santa Cruz,University of Michigan
Hubble,1993,m,J. Christopher Clemens,University of Texas,Iowa State University
Hubble,1993,m,Constantine Deliyannis,Yale University,Yale University
Hubble,1993,m,Henry Ferguson,The Johns Hopkins University,Space Telescope Science Institute
Hubble,1993,m,Thomas Herbig,California Institute of Technology,Princeton University
Hubble,1993,m,Buell Jannuzi,University of Arizona,Princeton Institute for Advanced Study
Hubble,1993,m,Jeremy King,University of Hawaii,University of Texas
Hubble,1993,f,Elizabeth Lada,University of Texas,University of Maryland
Hubble,1993,m,James Lowenthal,University of Arizona,University of California Santa Cruz
Hubble,1993,m,Peter McCullough,University of California Berkeley,University of Illinois
Hubble,1993,m,Dimitar Sasselov,University of Toronto,Center for Astrophysics
Hubble,1993,m,Didier Saumon,University of Rochester,University of Arizona Lunar and Planetary Laboratory
Hubble,1993,m,Joseph Shields,University of California Berkeley,University of Arizona/Steward Observatory
Hubble,1993,m,Marten van Kerwijk,Amsterdam,California Institute of Technology
Hubble,1993,m,Mark Voit,University of Colorado,The Johns Hopkins University
Hubble,1993,m,Stephen Zepf,The Johns Hopkins University,University of California Berkeley
Hubble,1992,m,Matthew Bershady,University of Chicago,University of California Santa Cruz
Hubble,1992,m,Yong-Ik Byun,Australian National University,University of Hawaii
Hubble,1992,m,Paul Green,University of Washington,Center for Astrophysics
Hubble,1992,f,Andrea Ghez,California Institute of Technology,University of Arizona
Hubble,1992,m,Puragra Guhathakurta,Princeton University,Princeton University
Hubble,1992,m,Donald Garnett,University of Texas,University of Minnesota
Hubble,1992,m,Coel Hellier,University of London,University of Texas
Hubble,1992,f,Jane Luu,Massachusetts Institute of Technology,University of California Berkeley
Hubble,1992,m,Steven R. Majewski,University of Chicago,Observatories of the Carnegie Institute of Washington
Hubble,1992,m,Frederic Rasio,Cornell University,Princeton Institute for Advanced Study
Hubble,1992,m,Kenneth Sembach,University of Wisconsin,Massachusetts Institute of Technology
Hubble,1992,m,Sylvain Veilleux,University of California Santa Cruz,Kitt Peak National Observatory
Hubble,1992,m,Donna Womble,University of California San Diego,California Institute of Technology
Hubble,1991,m,Marijn Franx,Leiden Netherlands,Center for Astrophysics
Hubble,1991,f,Suzanne L. Hawley,University of Texas,Lawrence Livermore National Laboratory
Hubble,1991,m,Xiaohui Hui,Boston University,California Institute of Technology
Hubble,1991,m,Konrad H. Kuijken,University of Cambridge,Center for Astrophysics
Hubble,1991,m,Kenneth M. Lanzetta,University of Pittsburgh,University of California San Diego
Hubble,1991,m,Patrick J. McCarthy,University of California Berkeley,Observatories of the Carnegie Institute of Washington
Hubble,1991,f,Heather L. Morrison,Australian National University,Kitt Peak National Observatory
Hubble,1991,m,Hans-Walter R. Rix,University of Arizona,Princeton Institute for Advanced Study
Hubble,1991,m,Sean G. Ryan,Australian National University,University of Texas
Hubble,1991,m,William D. Vacca,University of Colorado,University of California Berkeley
Hubble,1991,m,Dennis F. Zaritsky,University of Arizona,Observatories of the Carnegie Institute of Washington
Hubble,1990,m,Pawel Artymowicz,University of Warsaw,University of California Santa Cruz
Hubble,1990,f,Stefi Baum,University of Maryland,The Johns Hopkins University
Hubble,1990,m,Michael Bolte,University of Washington,University of California Santa Cruz
Hubble,1990,m,Paul Callanan,University of Galway Ireland,Center for Astrophysics
Hubble,1990,f,Laura Danly,University of Wisconsin,Space Telescope Science Institute
Hubble,1990,m,Andrew Fruchter,Princeton University,University of California Berkeley
Hubble,1990,m,Neal Katz,Princeton University,Massachusetts Institute of Technology
Hubble,1990,m,Young-Wook Lee,Yale University,Yale University
Hubble,1990,m,Peter Lundqvist,University of Lund Sweden,University of Virginia
